title,type,address,rating
Экспотель ,Гостиница,"​Киевская улица, 20а, Москва",4.8
WineWood Moscow ,Гостиницы,"​Улица Красная Пресня, 30 ст3, Москва",4.7
Династия Лефортово ,Отель,"​Красноказарменная улица, 3а, Москва",3.8
Come Inn ,Гостиница,"​Большая Татарская улица, 38/1 ст1, Москва",4.6
Кадашевская ,Гостиница,"​Кадашёвская набережная, 26, Москва",4.5
Павелецкая аэро ,Гостиница,"​Улица Кожевническая, 3 ст1, Москва",4.6
Точка ,Апарт-отель,"​Спартаковская площадь, 16/15 ст1, Москва",4.7
East-West ,Отель-бутик,"​Тверской бульвар, 14 ст4, Москва",3.7
Маяковский ,Арт-отель,"​Большая Садовая улица, 2/46 ст1, Москва",4.5
Hotel Perovo plaza ,Гостиницы,"​Улица Плеханова, 17 ст6, Москва",3.9
Ахаус на Нахимовском проспекте ,Отель,"​Нахимовский проспект, 2, Москва",3.9
Воронцовский ,Отель,"​Воронцовский переулок, 5/7 ст2, Москва",4.9
Vertical boutique ,Гостиницы,"​Улица Малые Каменщики, 16, Москва",4.3
П17 ,Отель,"​Улица Петровка, 17, Москва",4.9
БуддОтель Москва ,Гостиница,"​Улица Расковой, 24 ст4, Москва",4.0
Столешников ,Бутик-отель,"​Дмитровский переулок, 3 ст4, Москва",4.6
Fratelli hotel ,Гостиницы,"​Тверская улица, 12 ст2, Москва",4.3
Apple Dream Hotel ,Гостиницы,"​Улица Валовая, 32/75 ст1, Москва",4.5
Kirin hotel ,Отель,"​Тверская улица, 12 ст6а, Москва",4.4
Che Hotel ,Арт-отель,"​Улица Малая Дмитровка, 29 ст3, Москва",4.7
Булгаков ,Гостиница,"​Улица Арбат, 49, Москва",4.1
Kamergersky ,Отель,"​Камергерский переулок, 6/5 ст3, Москва",4.4
Gallery Inn ,Гостиница,"​Улица Малая Ордынка, 38 ст2, Москва",4.3
Ордынка+ ,Гостиница,"​Улица Большая Ордынка, 59 к2, Москва",4.9
Кристалл ,Отель,"​Профсоюзная улица, 4, Москва",4.3
Люмьер ,Бутик-отель,"​Улица Мясницкая, 16, Москва",4.6
Винтерфелл на Кропоткинской ,Сеть гостиниц,"​Пречистенская набережная, 15 ст1, Москва",4.3
Bulgakov Residence Hotel ,Отель,"​Большой Палашёвский переулок, 9 ст2, Москва",4.6
Grada Boutique Hotel ,Отель,"​Улица Кузнецкий Мост, 6/3 ст3, Москва",4.2
Florinn hotel ,Гостиницы,"​Тверская улица, 12 ст7, Москва",4.7
Hotel wood street ,Гостиницы,"​Улица Лесная, 39, Москва",4.7
Travel room ,Отель,"​3-я улица Ямского Поля, 30, Москва",4.4
Myasnitskiy ,Бутик-отель,"​Улица Мясницкая, 14/2 ст1, Москва",4.9
Dot space 84 ,Гостиницы,"​Пресненская набережная, 12, Москва",4.7
Издатель ,Отель,"​Тверская улица, 12 ст2, Москва",4.3
Riverside Hotel ,Отель,"​Кутузовский проспект, 2/1 к1Б, Москва",4.3
Шато Волго ,Отель,"​Тверская улица, 9 ст5, Москва",3.5
Заречье ,Отель,"​Люсиновская улица, 62, Москва",4.4
